제2경인선,제2경인선 시점,삼막IC,26.6,100,100
제2경인선,공항신도시JCT,송도IC,21.4,100,100
제2경인선,석수IC,여수대로IC,21.9,100,100
경인선,경인선 시점,경인선 종점,23.89,100,100
인천국제공항선,인천국제공항선 시점,북로JCT,36.55,100,100
서천공주선,동서천IC,동서천JCT,2.18,80,80

서천공주선,동서천JCT,서천터널,3.22,100,100
서천공주선,서천터널,서공주JCT,55.96,110,110
평택시흥선,서평택JCT,군자JCT,39.37,100,100
용인서울오산화성선,서오산JCT,안녕IC,2.55,100,100
용인서울오산화성선,흥덕IC,헌릉IC,22.9,100,100
새만금포항선의지선,익산JCT,완주JCT,10.3,100,100
호남선지선,논산JCT,벌곡휴게소 인근,23.9,100,100
호남선지선,벌곡휴게소 인근,계룡IC 인근,3.3,80,80
호남선지선,계룡IC 인근,회덕JCT,26.72,100,100
고창담양선,고창JCT,대덕JCT,42.3,100,100

대전남부순환선,서대전JCT,산내JCT,13.28,100,100
상주영천선,낙동JCT,영천JCT,94,100,100
수도권제2순환선(봉담~동탄),동탄JCT,서오산JCT,9.26,100,100
수도권제2순환선(인천~김포),인천시점,서김포통진IC,28.9,100,100
중부내륙선지선,현풍JCT,금호JCT,30,100,100
중앙선지선,김해JCT,양산JCT,17.42,100,100
부산외곽순환선,진영JCT,기장JCT,48.8,100,100
수도권제2순환선(이천~오산),곤지암JCT,동탄JCT,31.3,100,100
광주외곽순환선,남광산IC,남장성JCT,9.7,100,100
대구외곽순환선,달서IC,동명동호JCT,20.3,80,80
대구외곽순환선,서변IC,상매JCT,12.1,80,80
